des,fea,cost
LG 139 cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Disney+Hotstar|YoutubeOperating System: WebOSUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output50 Hz Refresh Rate3 x HDMI | 2 x USB1 Year LG India Comprehensive Warranty and Additional 1 Year Warranty is Applicable on Panel/Module,"₹50,999₹83,99039% off"
Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels24W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+ Grade1 Year Vu Domestic Warranty,"₹30,999₹36,00013% off"
MOTOROLA ZX2 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Atmos and Dolby Vision,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels40 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBVA Panel1 Year Warranty on Product,"₹17,999₹21,99918% off"
Vu Cinema TV Action Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels100 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB3 Year Warranty on Product from Vu,"₹49,999₹85,00041% off"
Mi Q1 138.8 cm (55 inch) QLED Ultra HD (4K) Smart Android TV,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year on Product and 1 Additional Year for Panel From Mi,"₹56,999₹59,9995% off"
OnePlus Y Series 108 cm (43 inch) Full HD LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBLED1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase,"₹26,999₹29,99910% off"
KODAK 7XPRO Series 106 cm (42 inch) Full HD LED Smart Android TV,Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Warranty on Product,"₹20,999₹27,99925% off"
SAMSUNG Crystal 4K Pro 108 cm (43 inch) Ultra HD (4K) LED Smart TV with Voice Search,Netflix|Disney+Hotstar|YoutubeOperating System: TizenUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 1 x USB1 Year Product Warranty and 1 Year Additional on Panel,"₹38,990₹54,90028% off"
iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED Smart Android TV with Google assistant tv HDR 10 and D...,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels16 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USBA+ Grade Panel1 Year Domestic Warranty,"₹13,499₹18,99928% off"
SAMSUNG 108 cm (43 inch) Full HD LED Smart TV,Netflix|Disney+Hotstar|YoutubeOperating System: TizenFull HD 1920 x 1080 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USB1 Year Comprehensive Warranty on Product and 1 Year Additional warranty on Panel,"₹31,990₹38,90017% off"
